begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/17 18:37

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.322784328099949e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.32278433e-09   0.100    40.00000 2020/06/24 19:45 2020/06/24 19:55
FAP2  1 V         0.000 799 Input units: m/s         
    7.08000  1.32433673e+08 -175
    7.10000  1.32396692e+08 -175
    7.12000  1.32347316e+08 -175
    7.14000  1.32328892e+08 -175
    7.16000  1.32347381e+08 -175
    7.18000  1.32390150e+08 -175
    7.20000  1.32374178e+08 -175
    7.22000  1.32465518e+08 -175
    7.24000  1.32258828e+08 -175
    7.26000  1.32378485e+08 -175
    7.28000  1.32299359e+08 -175
    7.30000  1.32346032e+08 -175
    7.32000  1.32455991e+08 -175
    7.34000  1.32376794e+08 -175
    7.36000  1.32409796e+08 -175
    7.38000  1.32350601e+08 -176
    7.40000  1.32473651e+08 -176
    7.42000  1.32322905e+08 -176
    7.44000  1.32398575e+08 -176
    7.46000  1.32306196e+08 -176
    7.48000  1.32340043e+08 -176
    7.50000  1.32434101e+08 -176
    7.52000  1.32448294e+08 -176
    7.54000  1.32392455e+08 -176
    7.56000  1.32469430e+08 -176
    7.58000  1.32499860e+08 -176
    7.60000  1.32345812e+08 -176
    7.62000  1.32341758e+08 -176
    7.64000  1.32347608e+08 -176
    7.66000  1.32400841e+08 -176
    7.68000  1.32417802e+08 -176
    7.70000  1.32377567e+08 -176
    7.72000  1.32468617e+08 -176
    7.74000  1.32463232e+08 -176
    7.76000  1.32267777e+08 -176
    7.78000  1.32291406e+08 -176
    7.80000  1.32371729e+08 -176
    7.82000  1.32389679e+08 -177
    7.84000  1.32408134e+08 -177
    7.86000  1.32392639e+08 -177
    7.88000  1.32440545e+08 -177
    7.90000  1.32404002e+08 -177
    7.92000  1.32481137e+08 -177
    7.94000  1.32349005e+08 -177
    7.96000  1.32302397e+08 -177
    7.98000  1.32389698e+08 -177
    8.00000  1.32466400e+08 -177
    8.02000  1.32569762e+08 -177
    8.04000  1.32409032e+08 -177
    8.06000  1.32274550e+08 -177
    8.08000  1.32320591e+08 -177
    8.10000  1.32371760e+08 -177
