begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2022/11/30 19:09

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.1927020719191555e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.19270207e-09   0.100    40.00000 2020/05/27 20:00 2020/05/27 20:10
FAP2  1 V         0.000 799 Input units: m/s         
    5.20000  1.36669899e+08 -169
    5.22000  1.36366765e+08 -169
    5.24000  1.36417149e+08 -169
    5.26000  1.36498869e+08 -169
    5.28000  1.36337795e+08 -169
    5.30000  1.36415310e+08 -169
    5.32000  1.36519506e+08 -169
    5.34000  1.36546300e+08 -169
    5.36000  1.36502763e+08 -169
    5.38000  1.36409829e+08 -169
    5.40000  1.36530086e+08 -170
    5.42000  1.36494168e+08 -170
    5.44000  1.36611572e+08 -170
    5.46000  1.36519610e+08 -170
    5.48000  1.36312187e+08 -170
    5.50000  1.36314072e+08 -170
    5.52000  1.36472807e+08 -170
    5.54000  1.36649877e+08 -170
    5.56000  1.36468296e+08 -170
    5.58000  1.36466163e+08 -170
    5.60000  1.36579062e+08 -170
    5.62000  1.36360672e+08 -170
    5.64000  1.36449648e+08 -170
    5.66000  1.36460467e+08 -170
    5.68000  1.36530904e+08 -171
    5.70000  1.36433505e+08 -171
    5.72000  1.36332406e+08 -171
    5.74000  1.36499306e+08 -171
    5.76000  1.36465163e+08 -171
    5.78000  1.36441514e+08 -171
    5.80000  1.36736457e+08 -171
    5.82000  1.36542557e+08 -171
    5.84000  1.36580640e+08 -171
    5.86000  1.36568669e+08 -171
    5.88000  1.36602651e+08 -171
    5.90000  1.36416602e+08 -171
    5.92000  1.36514546e+08 -171
    5.94000  1.36648486e+08 -171
    5.96000  1.36546346e+08 -171
    5.98000  1.36515217e+08 -171
    6.00000  1.36616557e+08 -172
    6.02000  1.36448754e+08 -172
    6.04000  1.36544230e+08 -172
    6.06000  1.36532992e+08 -172
    6.08000  1.36529566e+08 -172
    6.10000  1.36462003e+08 -172
    6.12000  1.36543016e+08 -172
    6.14000  1.36659629e+08 -172
    6.16000  1.36643623e+08 -172
    6.18000  1.36634626e+08 -172
    6.20000  1.36601988e+08 -172
    6.22000  1.36643928e+08 -172
    6.24000  1.36669261e+08 -172
    6.26000  1.36486574e+08 -172
    6.28000  1.36619425e+08 -172
    6.30000  1.36651279e+08 -172
    6.32000  1.36549814e+08 -172
    6.34000  1.36592921e+08 -173
    6.36000  1.36671147e+08 -173
    6.38000  1.36560070e+08 -173
    6.40000  1.36492112e+08 -173
    6.42000  1.36691409e+08 -173
    6.44000  1.36676026e+08 -173
    6.46000  1.36655017e+08 -173
    6.48000  1.36598120e+08 -173
    6.50000  1.36628840e+08 -173
    6.52000  1.36443825e+08 -173
    6.54000  1.36679553e+08 -173
    6.56000  1.36632717e+08 -173
    6.58000  1.36624259e+08 -173
    6.60000  1.36798354e+08 -173
    6.62000  1.36764757e+08 -173
    6.64000  1.36684752e+08 -173
    6.66000  1.36612389e+08 -173
    6.68000  1.36696741e+08 -174
    6.70000  1.36840311e+08 -174
    6.72000  1.36683563e+08 -174
    6.74000  1.36718056e+08 -174
    6.76000  1.36766844e+08 -174
    6.78000  1.36614247e+08 -174
    6.80000  1.36626645e+08 -174
    6.82000  1.36672969e+08 -174
    6.84000  1.36645632e+08 -174
    6.86000  1.36728126e+08 -174
    6.88000  1.36803649e+08 -174
    6.90000  1.36725775e+08 -174
    6.92000  1.36755304e+08 -174
    6.94000  1.36768355e+08 -174
    6.96000  1.36810708e+08 -174
    6.98000  1.36716077e+08 -174
    7.00000  1.36736344e+08 -174
    7.02000  1.36731696e+08 -174
    7.04000  1.36832655e+08 -174
    7.06000  1.36654494e+08 -175
    7.08000  1.36794376e+08 -175
    7.10000  1.36693193e+08 -175
    7.12000  1.36604143e+08 -175
    7.14000  1.36600537e+08 -175
    7.16000  1.36595412e+08 -175
    7.18000  1.36656104e+08 -175
    7.20000  1.36658349e+08 -175
    7.22000  1.36758238e+08 -175
    7.24000  1.36547187e+08 -175
    7.26000  1.36694372e+08 -175
    7.28000  1.36602294e+08 -175
    7.30000  1.36616028e+08 -175
    7.32000  1.36764756e+08 -175
    7.34000  1.36658702e+08 -175
    7.36000  1.36734799e+08 -175
    7.38000  1.36604822e+08 -175
    7.40000  1.36768127e+08 -175
    7.42000  1.36672633e+08 -175
    7.44000  1.36681518e+08 -176
    7.46000  1.36584750e+08 -176
    7.48000  1.36600651e+08 -176
    7.50000  1.36643375e+08 -176
    7.52000  1.36733850e+08 -176
    7.54000  1.36700784e+08 -176
    7.56000  1.36762951e+08 -176
    7.58000  1.36804147e+08 -176
    7.60000  1.36602041e+08 -176
    7.62000  1.36583326e+08 -176
    7.64000  1.36612087e+08 -176
    7.66000  1.36646344e+08 -176
    7.68000  1.36656809e+08 -176
    7.70000  1.36626771e+08 -176
    7.72000  1.36793545e+08 -176
    7.74000  1.36773142e+08 -176
    7.76000  1.36532357e+08 -176
    7.78000  1.36513995e+08 -176
    7.80000  1.36659460e+08 -176
    7.82000  1.36668722e+08 -176
    7.84000  1.36687330e+08 -176
    7.86000  1.36687749e+08 -177
    7.88000  1.36738322e+08 -177
    7.90000  1.36681812e+08 -177
    7.92000  1.36716078e+08 -177
    7.94000  1.36557791e+08 -177
    7.96000  1.36608167e+08 -177
    7.98000  1.36638900e+08 -177
    8.00000  1.36679554e+08 -177
    8.02000  1.36816904e+08 -177
    8.04000  1.36696153e+08 -177
    8.06000  1.36597631e+08 -177
    8.08000  1.36597098e+08 -177
    8.10000  1.36640189e+08 -177
    8.12000  1.36590982e+08 -177
    8.14000  1.36542031e+08 -177
    8.16000  1.36556880e+08 -177
    8.18000  1.36513425e+08 -177
    8.20000  1.36608349e+08 -177
    8.22000  1.36435018e+08 -177
    8.24000  1.36483714e+08 -177
    8.26000  1.36443400e+08 -177
    8.28000  1.36506288e+08 -177
    8.30000  1.36599371e+08 -177
