year,station_code,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] ,gain,delta_t,findpeaks_calib,sensor_model,sensor_id,Kg,Rg,CDR,Rd,Km,M,Rm,f0,lambda_x,preamp_model,preamp_id,Kp,Kc,Rp,digitizer_model,digitizer_id,Si,Kd,So,Rc,Sg,lambda0,Sd,kappa_g,kappa_c,NCALPER,NCALIB0,gain0,NCALIB,gain_expected,findpeaks_room,gain_room,findpeaks_deviation,findpeaks_room_deviation,gain_deviation,gain_room_deviation,findpeaks_drift,findpeaks_room_drift,gain_drift,gain_room_drift
2016,YKAB2,.3087..HHZ,2016-11-14 19:46:30,293.375,0.2,20.0,116.0,-10.95,107.4,1.9e-05,-4.4,20.0,0.283465363349,-4.4,0.0036528,S-13,2342,613.32,3831,6158,6158,0.1975,5.0,23.0,1,0.0275,MAN-ELP-0110,G18338,40.0,8.692,200.0,CMG-DM24,A3087,2.87e-06,2.0,4.24e-07,25.6557754257,378.098364201,0.616478125939,696864.111498,-0.00170724096506,-0.00231257728793,0.25,0.00377526334681,0.273747924943,0.00373316830919,0.276834694208,0.0036886412736,0.280684001204,2.1528177284,1.19274117595,2.39517274376,1.3904713088,-3.53051320176,-0.326131548101,-2.98999302628,0.658482148166
2016,YKAB3,.3080..HHZ,2016-11-14 20:00:05,159.975,0.2,20.0,63.0,-11.07,107.4,2.6e-06,-4.0,20.0,0.279576072758,-4.0,0.0036803,S-13,2343,607.6,3764,5910,5910,0.1975,5.0,23.0,1,0.0055,MAN-ELP-0110,G18318,40.0,8.692,200.0,CMG-DM24,A3080,2.87e-06,2.0,4.24e-07,25.6557754257,371.192474674,0.610915856936,696864.111498,-0.00172910068224,-0.00233443700511,0.25,0.00384550063173,0.268747974912,0.00379928943596,0.27201678754,0.003713128276,0.277082254189,3.13188657938,2.26782300767,2.77897746196,1.862188983,-0.797517549288,2.5803199691,-1.54984187712,2.13990433302
2016,YKAB4,.3180..HHZ,2016-11-14 20:06:34,288.475,0.2,20.0,114.0,-10.78,107.5,1.2e-05,-4.0,20.0,0.289067988237,-4.0,0.0035802,S-13,831,619.12,3646,6239,6239,0.1975,5.0,23.0,1,0.0195,MAN-ELP-0110,G18326,40.0,8.692,200.0,CMG-DM24,A3180,2.869e-06,2.0,4.24e-07,25.6557754257,390.762739504,0.631158320688,697107.005925,-0.0016495477997,-0.00225488412257,0.25,0.00365163663882,0.283015702142,0.00361940008876,0.28553640989,0.003612135384,0.286489501781,1.08305486552,0.200715714923,1.23682242404,0.333789968017,-1.27645462969,1.95645997302,-1.05443217743,2.35380487423
2016,YKAB6,.3036..HHZ,2016-11-14 20:15:36,288.975,0.2,20.0,114.0,-10.77,-72.4,1.4e-05,-4.0,20.0,0.289400981707,-4.0,0.0035826,S-13,2345,620.79,3746,6277,6277,0.1975,5.0,23.0,1,0.0226,MAN-ELP-0110,G18335,40.0,8.692,200.0,CMG-DM24,A3036,2.869e-06,2.0,4.24e-07,25.6557754257,388.775698893,0.626259602913,697107.005925,-0.00166879976055,-0.00227413608342,0.25,0.00367030022896,0.281576558546,0.00363503333692,0.284308398717,0.003614556792,0.28681952495,1.44244445812,0.563311062691,1.79121792131,0.883240257453,-3.34522379107,-0.168978340243,-2.61114081516,0.927691186646
2016,YKAB7,.3086..HHZ,2016-11-14 20:23:37,288.975,0.2,20.0,114.0,-10.27,107.5,1.5e-05,-4.0,20.0,0.306549067943,-4.0,0.0033768,S-13,2347,639.15,3957,6665,6665,0.1975,5.0,23.0,1,0.0242,MAN-ELP-0110,G18337,40.0,8.692,200.0,CMG-DM24,A3086,2.869e-06,2.0,4.24e-07,25.6557754257,401.048272453,0.62747128601,697107.005925,-0.00166403784598,-0.00226937416885,0.25,0.0035579844988,0.290465151732,0.003524484946,0.293225967236,0.003406921056,0.303814650257,4.19025611588,3.33563320043,4.54362921255,3.61110003997,-3.05860293494,0.0373234960612,-2.80526433081,0.834517919308
2016,YKAB8,.4549..HHZ,2016-11-14 20:31:12,287.775,0.2,20.0,114.0,-10.84,-72.3,1.5e-05,-4.0,20.0,0.287078058202,-4.0,0.0035806,S-13,2493,621.46,3761,6296,6296,0.1975,5.0,23.0,1,0.0234,MAN-ELP-0110,G18336,40.0,8.692,200.0,CMG-DM24,A4549,2.873e-06,2.0,4.24e-07,25.6557754257,389.053610421,0.626031619767,696136.442743,-0.00166969573431,-0.00227503205718,0.25,0.00367279196279,0.281385528441,0.00363737257517,0.28412555655,0.003612538952,0.284517321923,1.560812757,0.682735206789,1.03915384731,0.137884594992,-2.73824025286,0.45987263208,-2.83074305663,0.692118209879
2016,YKAB9,.3072..HHZ,2016-11-14 20:45:14,288.525,0.2,20.0,114.0,-11.12,107.3,1.3e-05,-4.0,20.0,0.277971326776,-4.0,0.0036907,S-13,2348,601.74,3754,5886,5886,0.1975,5.0,23.0,1,0.0207,MAN-ELP-0110,G18320,40.0,8.692,200.0,CMG-DM24,A3072,2.865e-06,2.0,4.24e-07,25.6557754257,367.410958506,0.610580912863,698080.279232,-0.00173041701245,-0.00233575333532,0.25,0.00387831137553,0.266474351137,0.00383150591086,0.269729587098,0.003723621044,0.275491822541,3.67494959264,2.815730143,3.05555640604,2.1363008429,-2.0801220683,1.07483271481,-2.27913140287,1.28813339183
2016,YKAR1,.3079..HHZ,2016-11-14 16:50:43,288.375,0.2,20.0,114.0,-10.56,-72.7,1.1e-05,-4.5,20.0,0.296483138952,-4.5,0.0034643,S-13,1192,619.2,3774,6249,6249,0.1975,5.0,23.0,1,0.0233,MAN-ELP-0110,G18321,40.0,8.692,200.0,CMG-DM24,A3079,2.867e-06,2.0,4.24e-07,25.6557754257,386.050164621,0.623466028135,697593.303104,-0.00167977850943,-0.0022851148323,0.25,0.00369363608396,0.279797598846,0.00365651575297,0.282638056862,0.0034990642505,0.293507930653,5.25680089877,4.30605289579,4.89852012307,3.84586347364,-1.26623275074,2.76506112186,-2.31988957864,2.3418733538
2016,YKAR2,.3076..HHZ,2016-11-14 18:07:27,293.975,0.2,20.0,116.0,-10.51,-72.3,1.2e-05,-4.5,20.0,0.298194754793,-4.5,0.0034509,S-13,832,628.26,3591,6355,6355,0.1975,5.0,23.0,1,0.0112,MAN-ELP-0110,G18332,40.0,8.692,200.0,CMG-DM24,A3076,2.867e-06,2.0,4.24e-07,25.6557754257,401.426935451,0.638950331792,697593.303104,-0.00161892519606,-0.00222426151893,0.25,0.0035521503226,0.290942221878,0.00352524020478,0.293163145564,0.0034855297815,0.295202370428,2.10879827935,1.12646007009,1.71631711039,0.695593868184,-2.153044774,1.71097825953,-2.24951337507,1.99261768773
2016,YKAR3,.3073..HHZ,2016-11-14 18:12:24,291.975,0.2,20.0,115.0,-11.81,-72.9,1e-05,-4.5,20.0,0.256743820811,-4.5,0.0039497,S-13,822,619.92,3790,6255,6255,0.1975,5.0,23.0,1,0.0219,MAN-ELP-0110,G18334,40.0,8.692,200.0,CMG-DM24,A3073,2.867e-06,2.0,4.24e-07,25.6557754257,386.022857143,0.622697859632,697593.303104,-0.00168279741165,-0.00228813373452,0.25,0.0036938973739,0.279777807203,0.0036563194702,0.282653229764,0.0039893352395,0.254167396569,-8.02393040847,-9.10795055012,-9.16650022903,-10.0780143992,-3.35583367373,0.858549909434,-1.90200658857,1.88084330866
