Category,Type,Model,Manufacturer,Physical Location Type,Physical Location,Assigned Locations,Status,Serial Number,No. of Units,Change Date,PO/Contract Number,FRD/Release Number
Seismometer,Feedback,CMG-3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WC4,WRA (PS02),In Use,V3J37,1,17-AUG-2022,2013-0084,0031
Seismometer,Feedback,ENG 3T Waterproof 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB2,WRA (PS02),In Use,T311227,1,14-NOV-2023,2013-0084,0149
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB8,WRA (PS02),In Use,V3187,1,01-JUL-1999,,
Seismometer,Feedback,ENG-3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR2,WRA (PS02),In Use,V3J43,1,31-MAY-2017,2013-0084,0053
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WC3,WRA (PS02),In Use,V3192,1,06-SEP-2013,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WC1,WRA (PS02),In Use,V3181,1,17-AUG-2022,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR4,WRA (PS02),In Use,V3186,1,01-JUL-1999,,
Seismometer,Feedback,3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR10,WRA (PS02),In Use,V3J92,1,03-JUN-2019,2013-0084,0107
Seismometer,Feedback,CMG-3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR1,WRA (PS02),In Use,V3J36,1,31-MAR-2016,2013-0084,0031
Seismometer,Feedback,ENG 3T Waterproof 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR8,WRA (PS02),In Use,T311228,1,14-NOV-2023,2013-0084,0149
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB4,WRA (PS02),In Use,V3188,1,01-JUL-1999,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR9,WRA (PS02),In Use,V3175,1,01-JUL-1999,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR5,WRA (PS02),In Use,V3191,1,29-SEP-2019,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR7,WRA (PS02),In Use,V3178,1,01-JUL-1999,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB6,WRA (PS02),In Use,V3189,1,01-JUL-1999,,
Seismometer,Feedback,ENG 3T Waterproof 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB10,WRA (PS02),In Use,T311229,1,14-NOV-2023,2013-0084,0149
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB7,WRA (PS02),In Use,V3184,1,01-JUL-1999,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR3,WRA (PS02),In Use,V3177,1,16-NOV-2020,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WR6,WRA (PS02),In Use,V3173,1,01-DEC-2004,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB1,WRA (PS02),In Use,V3194,1,26-MAR-2003,,
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WC2,WRA (PS02),In Use,V3183,1,06-SEP-2013,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WSAR,WSAR (AS074),In Use,T35176,1,31-MAR-2008,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,YAK,YAK (AS088),In Use,419,1,31-MAR-1999,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,YAK,YAK (AS088),In Use,418,1,31-MAR-1999,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,YAK,YAK (AS088),In Use,417,1,31-MAR-1999,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YAK,YAK (AS088),In Use,29232,1,31-MAR-1999,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YAK,YAK (AS088),In Use,109126,1,31-MAR-1999,,
Seismometer,Feedback,STS-1 Feedback,G. Streckeisen AG,Station - Site,YAK,YAK (AS088),In Use,29228,1,31-MAR-1999,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,YBH,YBH (AS109),In Use,120950,1,14-JUN-2019,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB0,YKA (PS09),In Use,2566,1,21-APR-2022,,
Seismometer,Passive,S-13 Passive,"Geotech Instruments, LLC",Station - Site,YKAB1,YKA (PS09),In Use,2338,1,06-NOV-2012,,
